Feature_name,Feature_description,Feature_meaning,Feature_info
MMM-YY,Reporting Date (Monthly),Reporting Date, 
Emp_ID,Unique id for employees,Employee ID, 
Age,Age of the employee,Age, 
Gender,Gender of the employee,Gender, 
City,City Code of the employee,City, 
Education_Level,"Education level : Bachelor, Master or College",Education Level, 
Salary,Salary of the employee,Salary, 
Dateofjoining,Joining date for the employee,Date of Joining, 
LastWorkingDate,Last date of working for the employee,Last Working Date, 
Joining Designation,Designation of the employee at the time of joining,Joining Designation, 
Designation,Designation of the employee at the time of reporting,Reported Designation, 
Total Business Value,The total business value acquired by the employee in a month     (negative business indicates cancellation/refund of sold insurance policies),Total Business Value, 
Quarterly Rating,"Quarterly rating of the employee: 1,2,3,4 (higher is better)",Quarterly Rating, 
