iter	F1	Logloss
0	0.7	0.6843618486
1	0.7081349617	0.6765530926
2	0.7063327815	0.6691802366
3	0.7097844113	0.6618748699
4	0.7073371805	0.6549631844
5	0.7073775573	0.6480092879
6	0.7077526582	0.6415214604
7	0.7092037229	0.6356689183
8	0.7087951932	0.630134995
9	0.7093432774	0.6241943491
10	0.7091831453	0.618723065
11	0.7087298304	0.6138799915
12	0.7090626618	0.6091554429
13	0.7094300518	0.6042902734
14	0.7095836362	0.5996696996
15	0.7091948052	0.5950024138
16	0.7093963908	0.5909726778
17	0.7092698084	0.5872951634
18	0.7083678542	0.5835552067
19	0.7078709945	0.5799332608
20	0.7079444099	0.5764122792
21	0.7088293137	0.5730530919
22	0.7089211618	0.5695257675
23	0.7086010363	0.5664056366
24	0.7087006118	0.5628047629
25	0.7089001973	0.5596362058
26	0.7084978184	0.5566770632
27	0.7093493826	0.5541267183
28	0.7092419522	0.5516608456
29	0.7084457356	0.5491254259
30	0.7086663207	0.5464550957
31	0.7088476299	0.5442091051
32	0.7089420785	0.542003868
33	0.7091097308	0.5400337366
34	0.7095972668	0.5378121533
35	0.7095637758	0.5357542577
36	0.7098311406	0.5338222426
37	0.7102784391	0.5318997991
38	0.7105862855	0.5300277493
39	0.7112676056	0.5280951818
40	0.7116360999	0.5262586677
41	0.7115623705	0.5244817557
42	0.7117695814	0.5230233994
43	0.7121243523	0.5216932278
44	0.7128056361	0.5199911213
45	0.7127317932	0.5182112447
46	0.7127317932	0.5168441964
47	0.7142117793	0.5156487726
48	0.7151277014	0.5142715198
49	0.7148619299	0.5131818922
50	0.7165289256	0.5118012253
51	0.7164826091	0.5103646358
52	0.7161003821	0.5092800416
53	0.7164980384	0.5080782093
54	0.7163347436	0.5068854019
55	0.7167630058	0.5056099955
56	0.7169227596	0.5046133289
57	0.7175100484	0.5035095262
58	0.7175100484	0.5023645366
59	0.7177743431	0.5012846969
60	0.7176107106	0.5004190506
61	0.7178166838	0.4994885319
62	0.7180489813	0.4985040699
63	0.7190618249	0.4975721094
64	0.7194244604	0.4966956036
65	0.7199178645	0.4958964386
66	0.7201806611	0.4949592002
67	0.7203694202	0.4943236868
68	0.7206486043	0.4934293599
69	0.7206893015	0.4929233212
70	0.7214358974	0.4920143396
71	0.7211400451	0.491100016
72	0.7219262295	0.4903020719
73	0.7227854583	0.4895570566
74	0.7228817028	0.4888266191
75	0.7230863692	0.4880140599
76	0.7227905074	0.4873261956
77	0.7234042553	0.4866742458
78	0.7237958892	0.4860151035
79	0.7243740419	0.485255056
80	0.7254161136	0.4844980809
81	0.7257323671	0.4838059925
82	0.7257521673	0.4830384457
83	0.7261042538	0.4824797208
84	0.7262341901	0.481996915
85	0.7275876121	0.4814266295
86	0.7278094463	0.4809059768
87	0.7282719316	0.4804081753
88	0.7284013432	0.4798380323
89	0.7286427044	0.4791275196
90	0.7281790437	0.4787620441
91	0.729397419	0.477947174
92	0.7297297297	0.477311787
93	0.7292873844	0.4769518007
94	0.7299329405	0.4766113783
95	0.7303039545	0.475999575
96	0.7306363082	0.4754620761
97	0.7305973182	0.4748519118
98	0.7306872399	0.4744122744
99	0.7303359383	0.4739066482
100	0.7314401623	0.4734324006
101	0.7318260164	0.4730590842
102	0.7328197851	0.472519564
103	0.7323943662	0.4719589352
104	0.7323201621	0.471616066
105	0.7327455154	0.4709955459
106	0.7331105034	0.4703120307
107	0.7333468313	0.4699529879
108	0.7337110482	0.4695716881
109	0.7337110482	0.468910426
110	0.734479272	0.4685911335
111	0.7347145023	0.4680225951
112	0.7353743559	0.4671935899
113	0.7360662359	0.4667730794
114	0.7362570736	0.4663462853
115	0.7366720517	0.4658684209
116	0.736980218	0.4655321171
117	0.7373309106	0.465119853
118	0.7377446036	0.4645787204
119	0.7380952381	0.4641299692
120	0.7383498084	0.4634028735
121	0.7384863449	0.4630190111
122	0.738083241	0.4624017932
123	0.7379560572	0.4621050245
124	0.7386787695	0.4617330758
125	0.7389023406	0.4610781117
126	0.7389857849	0.4607444835
127	0.7395465995	0.4602946155
128	0.7397260274	0.4598769248
129	0.7404049562	0.4594063404
130	0.7405318292	0.4589054909
131	0.7410390656	0.4585953506
132	0.7403826788	0.4582484394
133	0.7415232921	0.4578009921
134	0.7424836601	0.4572549834
135	0.7422079228	0.4568726107
136	0.7422307151	0.4564787257
137	0.7421788552	0.4561113161
138	0.7423800422	0.4554775437
139	0.7422763409	0.4552698976
140	0.741896517	0.4549732901
141	0.741821842	0.4547095258
142	0.7425294295	0.4543912522
143	0.7426559356	0.4538859802
144	0.7425812293	0.4536075469
145	0.7431100382	0.4531630888
146	0.7430583501	0.452679042
147	0.7432364478	0.4523675199
148	0.7435123718	0.4519986254
149	0.7439380219	0.4516883587
150	0.7437367944	0.4514235405
151	0.7442421804	0.4510332175
152	0.7448733414	0.4506863593
153	0.7451256281	0.45025421
154	0.7457048126	0.4496943809
155	0.7458308218	0.4494812831
156	0.7460827642	0.4491944971
157	0.7458308218	0.4488132534
158	0.7463826367	0.4485205662
159	0.7469104793	0.4482632694
160	0.7473388231	0.4480589334
