iter	Passed	Remaining
0	44	44175
1	87	43831
2	131	43704
3	175	43635
4	217	43374
5	262	43442
6	307	43566
7	351	43556
8	396	43611
9	440	43634
10	484	43526
11	527	43446
12	575	43662
13	620	43678
14	663	43547
15	708	43551
16	751	43459
17	795	43400
18	844	43590
19	893	43802
20	937	43721
21	987	43878
22	1035	43973
23	1079	43905
24	1123	43835
25	1167	43745
26	1211	43664
27	1255	43581
28	1299	43498
29	1342	43402
30	1387	43357
31	1431	43297
32	1475	43230
33	1517	43126
34	1562	43079
35	1607	43056
36	1651	42979
37	1696	42950
38	1738	42850
39	1784	42838
40	1829	42796
41	1873	42730
42	1919	42712
43	1963	42657
44	2012	42702
45	2057	42678
46	2101	42614
47	2150	42658
48	2196	42639
49	2240	42572
50	2285	42527
51	2331	42501
52	2377	42475
53	2423	42449
54	2467	42401
55	2512	42345
56	2556	42298
57	2601	42254
58	2646	42213
59	2692	42176
60	2736	42130
61	2782	42089
62	2825	42024
63	2869	41973
64	2915	41934
65	2961	41912
66	3013	41959
67	3058	41919
68	3103	41872
69	3132	41618
70	3181	41627
71	3226	41586
72	3270	41530
73	3315	41491
74	3361	41456
75	3408	41437
76	3452	41387
77	3497	41339
78	3541	41291
79	3585	41230
80	3629	41174
81	3675	41143
82	3721	41114
83	3765	41067
84	3810	41020
85	3854	40964
86	3899	40917
87	3944	40874
88	3990	40851
89	4040	40858
90	4085	40810
91	4131	40777
92	4176	40732
93	4220	40680
94	4267	40649
95	4310	40589
96	4356	40556
97	4402	40517
98	4445	40461
99	4491	40426
100	4536	40382
101	4581	40332
102	4627	40298
103	4671	40249
104	4716	40203
105	4761	40158
106	4806	40115
107	4851	40068
108	4895	40019
109	4940	39976
110	4986	39939
111	5040	39964
112	5086	39927
113	5131	39879
114	5176	39837
115	5222	39799
116	5267	39757
117	5311	39704
118	5359	39675
119	5406	39644
120	5451	39604
121	5496	39557
122	5542	39515
123	5586	39466
124	5631	39422
125	5677	39381
126	5722	39334
127	5769	39306
128	5815	39265
129	5860	39220
130	5905	39175
131	5949	39123
132	5995	39081
133	6047	39084
134	6105	39119
135	6149	39070
136	6194	39023
137	6243	38996
138	6286	38942
139	6331	38891
140	6377	38851
141	6421	38801
142	6465	38749
143	6510	38702
144	6559	38678
145	6606	38641
146	6649	38583
147	6692	38529
148	6737	38482
149	6783	38437
150	6828	38390
151	6873	38345
152	6916	38291
153	6961	38243
154	7006	38196
155	7060	38197
156	7106	38156
157	7154	38128
158	7198	38075
159	7242	38021
160	7286	37970
161	7330	37919
162	7376	37879
163	7421	37829
164	7463	37770
165	7507	37715
166	7551	37664
167	7594	37609
168	7640	37571
169	7685	37525
170	7728	37465
171	7773	37423
172	7818	37374
173	7861	37319
174	7904	37262
175	7948	37213
176	7992	37160
177	8034	37104
178	8089	37105
179	8141	37087
180	8186	37041
181	8231	36996
182	8274	36941
183	8319	36897
184	8365	36854
185	8409	36803
186	8455	36761
187	8502	36725
188	8545	36670
189	8589	36616
190	8633	36567
191	8678	36523
192	8724	36479
193	8767	36423
194	8810	36369
195	8852	36313
196	8896	36264
197	8940	36214
198	8984	36162
199	9029	36116
200	9074	36073
201	9131	36074
202	9174	36020
203	9220	35977
204	9265	35930
205	9309	35883
206	9356	35842
207	9403	35804
208	9446	35752
209	9491	35707
210	9535	35656
211	9577	35598
212	9620	35546
213	9664	35497
214	9707	35442
215	9752	35397
216	9796	35348
217	9840	35300
218	9900	35308
219	9949	35275
220	9992	35222
221	10035	35170
222	10078	35117
223	10136	35116
224	10201	35137
225	10257	35128
226	10302	35081
227	10322	34952
228	10366	34902
229	10407	34844
230	10452	34796
231	10501	34762
232	10546	34717
233	10591	34671
234	10633	34616
235	10678	34570
236	10722	34519
237	10767	34472
238	10811	34426
239	10855	34377
240	10900	34330
241	10944	34281
242	10991	34240
243	11008	34107
244	11052	34059
245	11096	34011
246	11144	33976
247	11202	33967
248	11248	33925
249	11292	33877
250	11339	33836
251	11386	33799
252	11431	33753
253	11475	33703
254	11520	33658
255	11564	33608
256	11608	33559
257	11653	33515
258	11697	33466
259	11743	33423
260	11786	33372
261	11830	33323
262	11875	33279
263	11917	33224
264	11959	33171
265	12003	33122
266	12046	33070
267	12091	33027
268	12137	32983
269	12185	32946
270	12246	32942
271	12288	32890
272	12333	32845
273	12381	32805
274	12428	32764
275	12472	32717
276	12516	32670
277	12562	32626
278	12607	32579
279	12650	32531
280	12694	32480
281	12737	32431
282	12783	32388
283	12828	32341
284	12873	32296
285	12918	32249
286	12962	32202
287	13017	32181
288	13061	32135
289	13106	32089
290	13148	32035
291	13192	31987
292	13254	31983
293	13312	31967
294	13360	31928
295	13405	31882
296	13450	31836
297	13494	31789
298	13539	31744
299	13587	31704
300	13631	31656
301	13674	31604
302	13718	31557
303	13762	31509
304	13822	31497
305	13866	31448
306	13912	31405
307	13956	31356
308	13999	31306
309	14044	31259
310	14084	31203
311	14131	31162
312	14179	31122
313	14223	31074
314	14269	31030
315	14334	31027
316	14382	30988
317	14428	30944
318	14474	30899
319	14518	30851
320	14563	30806
321	14624	30792
322	14669	30745
323	14712	30697
324	14761	30657
325	14808	30615
326	14854	30571
327	14899	30525
328	14945	30481
329	14988	30430
330	15033	30385
331	15082	30346
332	15130	30306
333	15174	30258
334	15219	30212
